Open,High,Low,Close,Volume
741.39,742.31,737.24,741.78,375.05261467
741.85,742.34,740.01,740.79,254.52499527
740.85,740.85,737.0,737.01,322.12886073
737.0,738.59,733.28,737.45,596.27851486
737.35,739.78,731.25,731.83,1251.97208073
731.91,733.17,731.26,732.54,179.8692025
732.58,735.39,732.58,734.85,168.521529
734.77,736.9,733.79,735.34,125.60440657
735.59,744.06,735.35,744.06,795.87532962
744.42,744.42,741.04,743.08,418.40731277
743.08,749.52,742.11,748.58,2408.04767748
748.6,750.0,746.99,749.88,587.49859839
749.89,750.0,745.51,745.51,416.86496903
745.71,747.64,745.71,746.92,82.24374355
746.92,746.92,743.62,746.12,477.50224836
746.11,747.34,744.69,745.86,286.04894653
745.85,746.91,745.04,745.29,103.45460405
745.31,746.59,745.17,746.07,120.4632896
746.46,748.0,745.77,747.52,389.84832002
747.52,747.99,747.0,747.0,284.13373506
746.65,747.75,745.39,745.5,187.49266505
745.52,747.99,745.52,746.48,463.55415033
746.34,746.74,740.0,742.15,348.79583394
742.43,743.99,742.43,743.4,159.88162265
743.41,743.79,741.13,742.2,183.31264707
743.0,743.5,742.17,742.22,159.84300632
742.21,742.44,741.12,741.34,485.63815586
741.5,742.67,741.12,741.64,315.35684822
741.99,743.83,741.99,743.49,444.14198099
743.33,743.34,737.69,737.79,982.19744339
738.32,740.44,737.0,740.44,657.88074558
740.27,740.82,739.39,740.82,525.09976422
740.97,741.57,735.26,736.27,646.50731852
736.45,739.87,736.45,737.29,285.46325115
737.31,739.44,736.63,738.8,289.28479844
738.79,739.09,737.85,738.31,460.0225041
739.08,739.65,734.42,734.42,460.20794233
734.48,734.48,727.2,731.9,1403.02894825
731.71,734.77,728.42,728.47,400.46241757
728.47,732.33,728.45,731.38,223.18606957
731.17,734.79,730.44,734.06,842.63493456
733.82,735.27,732.54,735.04,254.81073531
734.98,735.41,734.2,734.55,245.57388331
734.41,735.97,734.28,735.24,105.85688535
735.23,738.64,735.02,738.23,96.1083573
738.01,738.01,736.29,737.47,59.40887942
737.43,739.31,736.91,738.94,266.49196173
738.67,740.29,737.84,737.97,268.90018902
738.6,740.19,737.87,739.95,57.47360876
739.86,742.46,739.46,741.82,550.309861
742.6,742.88,740.42,740.88,499.77979422
741.39,741.44,739.45,740.44,107.88705574
740.39,741.44,737.07,737.66,522.32849179
737.64,742.37,737.29,742.23,203.86668748
742.37,745.12,741.17,742.72,646.7594228
742.71,742.94,734.25,734.83,809.61629763
734.86,737.87,734.72,737.69,446.55828182
737.69,739.27,737.42,739.09,182.31460443
739.35,740.44,738.53,739.88,170.29078548
739.81,743.16,739.46,741.82,546.20632894
741.81,744.0,739.31,742.0,129.41102687
741.49,742.68,741.07,741.51,375.47661032
741.52,741.52,739.65,740.71,109.07345013
740.65,740.65,738.88,739.53,227.87648707
739.68,740.1,738.0,738.6,151.789241
738.35,741.28,738.31,740.72,169.99662017
740.79,740.79,736.0,736.38,413.71839843
736.56,738.69,736.55,737.15,450.28194329
737.47,739.18,735.31,737.2,650.54337695
736.98,738.07,736.37,737.75,388.40278448
737.52,738.61,737.12,738.56,97.55959181
738.43,739.36,737.35,737.7,157.18264579
737.35,738.16,736.67,737.21,181.48428472
737.14,737.72,735.0,735.0,864.89069506
735.01,735.01,731.1,732.31,1363.29797096
732.1,732.1,728.81,729.62,1150.52686453
729.33,733.45,727.59,732.02,1381.02165722
732.51,732.51,727.13,728.75,373.63719199
728.75,730.29,722.46,722.56,1630.8823608
722.55,726.35,717.0,726.28,2967.35830618
725.46,725.6,722.6,724.81,438.33816512
724.81,727.2,723.52,725.72,710.36112917
725.73,727.42,724.1,727.42,390.05011638
727.55,729.46,727.02,727.36,441.02315355
727.02,729.6,724.84,728.41,385.20347773
728.42,730.73,727.72,730.42,296.42348842
730.21,730.29,729.75,729.75,511.14420624
729.75,732.0,729.3,731.8,725.17997913
731.43,731.43,730.66,730.67,285.13011714
730.66,731.94,730.66,731.61,133.52137524
731.1,731.99,730.66,730.67,190.97042779
730.66,730.92,728.49,729.72,458.39528365
729.82,730.61,727.79,730.61,386.96097619
730.99,733.0,730.44,733.0,157.27811283
733.0,733.0,731.11,731.11,297.54721703
731.11,731.14,730.14,731.14,420.22068926
730.15,731.61,730.15,730.76,105.10325642
730.58,731.54,730.02,730.41,121.16533509
730.17,731.99,730.14,730.85,233.79010743
730.81,730.94,730.01,730.85,247.10058352
730.95,731.81,726.13,729.4,780.81471109
729.35,729.35,718.6,719.36,2158.22796673
719.34,724.59,718.15,724.01,943.16590953
723.92,723.92,721.21,721.55,719.86962845
721.59,722.23,717.5,718.28,503.53745313
717.51,722.98,717.51,721.78,267.29936973
722.32,731.51,721.72,731.37,1764.8828311
731.01,733.51,730.72,731.15,1210.63407432
731.53,734.69,731.53,733.57,319.95412896
733.3,735.0,733.25,735.0,530.48874652
735.15,735.77,732.94,734.61,200.17866578
733.92,734.49,731.74,731.87,235.58471331
731.75,733.63,731.74,733.33,482.65268918
733.31,733.31,731.88,732.6,212.73499292
732.25,732.56,730.55,730.56,193.74486472
730.56,732.2,730.55,732.02,62.58679688
731.8,732.08,728.24,728.28,188.27647478
728.31,730.37,728.08,730.03,33.56130539
730.02,731.94,728.97,731.6,290.92951735
731.64,731.64,730.61,731.63,1293.48080839
731.5,735.05,731.5,734.35,528.82693509
734.5,734.51,733.0,733.84,42.39918652
733.12,734.65,733.12,733.44,357.08356322
733.72,734.05,732.89,734.05,91.12376526
734.51,734.68,733.12,734.26,201.13574296
734.77,735.01,733.12,733.99,181.18821191
734.16,736.95,734.07,736.95,889.35484183
737.0,741.4,736.0,738.26,2100.71538789
739.01,739.77,737.53,739.35,221.81035859
738.01,738.01,736.0,736.99,118.27539675
737.0,737.11,736.04,736.68,136.09234546
736.67,737.56,736.0,737.4,92.49634943
737.29,739.85,733.66,733.82,461.13733479
733.24,734.08,730.01,733.37,629.73376273
733.19,735.5,732.23,735.08,290.78376435
735.42,736.01,734.24,736.01,669.90028901
736.09,736.33,734.34,734.59,393.29951359
734.73,735.88,732.06,732.24,254.81705429
731.75,734.12,731.06,734.12,179.9845369
734.12,734.22,724.75,727.09,2984.79221454
727.59,729.79,725.25,729.45,429.42398744
729.44,734.09,729.44,733.74,553.67883746
734.19,735.53,731.74,731.75,582.30340075
732.34,732.34,730.11,730.27,80.77054259
730.14,732.7,730.14,731.55,137.14392576
731.54,731.55,729.27,729.68,94.96731634
729.61,730.75,729.4,730.67,253.59368025
730.67,732.75,730.67,732.27,1358.6209813
731.97,731.97,730.53,730.77,163.21341544
730.79,743.98,730.29,743.0,4896.97792554
743.0,752.0,738.68,751.28,9428.20908407
751.99,758.0,751.39,753.86,5661.48773464
753.87,763.34,751.23,760.69,5176.37133927
760.72,770.0,759.98,765.71,4532.43526309
766.26,774.12,763.21,772.0,3374.75239378
772.39,773.02,766.28,771.16,2321.88203426
771.85,772.25,764.0,764.76,1494.57062777
764.34,764.34,754.42,755.42,3375.69050793
755.71,760.93,755.71,760.93,1133.28203761
760.72,763.72,759.04,762.0,752.92935942
763.28,764.7,762.29,763.66,857.75903682
763.31,766.94,762.5,764.75,1097.35203637
764.75,769.8,764.4,768.55,1321.33278777
768.42,770.45,765.21,770.45,959.94043114
770.38,776.76,766.62,767.7,4569.65347007
767.32,772.63,766.48,769.45,1900.05719992
769.61,780.0,769.56,775.33,3868.733258
774.79,783.0,769.82,782.68,3658.06505235
782.82,785.17,777.39,777.8,3051.87560609
777.57,780.39,776.23,777.74,1091.33400173
777.53,780.0,776.01,779.69,1693.01237697
779.69,782.97,779.6,780.25,1991.99552919
781.46,782.54,773.3,777.71,1717.62472595
777.99,779.8,777.11,778.87,875.45992355
779.07,781.57,778.6,781.57,946.17440398
781.38,783.0,775.94,779.51,3878.9500547
779.77,783.1,776.16,782.21,2989.01266102
782.21,783.79,781.29,783.79,1665.09316502
783.79,786.95,783.13,786.68,1940.98672077
786.68,788.0,785.36,785.61,656.95938181
786.02,786.53,769.05,778.58,5724.40742223
779.0,779.44,766.29,769.0,3600.21746085
769.42,774.17,766.0,772.71,3142.4863948
772.65,772.69,755.56,758.73,7335.82922684
758.2,767.99,754.0,767.0,6162.30248256
766.88,771.24,765.15,768.09,3722.05709493
767.56,767.91,761.02,766.99,724.87881254
766.99,769.85,765.34,769.01,466.53451419
769.05,770.09,765.47,769.83,585.71428152
770.1,774.85,769.93,772.63,567.98983372
772.62,774.9,770.0,774.53,766.44822694
774.25,774.97,770.92,772.0,2385.19459797
772.0,772.0,762.76,769.4,2946.15425425
770.14,777.37,769.18,777.0,655.71637156
777.0,777.36,773.66,775.78,492.61825766
775.86,777.96,775.0,775.01,387.04347493
775.05,778.0,772.94,773.82,500.34826072
774.46,774.49,771.5,774.14,215.40533638
774.59,778.0,774.56,777.99,445.53559567
777.99,779.0,776.76,777.22,609.06620613
776.56,777.88,773.51,775.93,763.3888939
776.05,777.14,775.63,776.97,189.18751632
776.96,777.85,775.51,775.51,269.88837944
774.8,779.36,774.8,777.79,245.85031608
777.46,779.0,777.44,778.08,394.02978199
778.07,778.35,777.29,777.99,165.90471757
777.79,779.16,776.52,779.11,619.02483408
779.12,782.0,779.12,779.78,787.6287331
779.79,779.9,775.77,775.77,384.0559663
776.0,777.28,776.0,776.01,268.39232975
776.0,776.72,773.52,776.27,711.09239469
776.27,776.27,772.52,773.2,450.46558282
773.0,775.13,772.51,772.99,353.04475769
772.99,773.0,769.49,772.21,645.28776721
772.22,773.46,772.0,772.39,171.83915951
772.79,779.16,772.52,778.88,537.44802447
778.19,788.99,777.53,786.28,3503.91402795
785.67,788.91,783.93,787.21,1060.81174581
786.96,790.0,784.94,787.59,2231.8059096
787.74,788.78,783.83,785.7,1161.3332546
785.94,796.56,783.95,795.66,4940.7638961
795.95,800.0,794.23,795.35,4883.941083
795.49,799.45,793.59,796.51,686.40049016
796.57,799.66,795.92,799.42,1092.4854067
799.42,799.42,795.9,797.76,2241.00718722
798.01,805.08,796.82,804.68,6245.47587252
804.23,804.54,794.49,802.56,5864.23246753
802.42,802.42,792.93,799.79,1562.42534264
799.78,801.34,791.24,794.69,1107.82247954
794.68,802.32,794.5,802.15,811.9967767
802.15,814.98,801.92,813.57,2884.43446348
813.83,820.0,810.59,818.22,3006.22423476
817.48,825.0,816.64,819.33,3869.55901831
819.09,820.77,814.12,816.02,1715.17436488
816.04,820.0,812.51,817.41,1732.20814836
817.38,820.01,816.06,819.4,817.44040927
819.4,828.79,819.4,825.46,1619.75731898
824.87,826.34,817.25,820.14,2235.10617852
820.14,824.22,818.71,822.73,786.86609034
822.74,829.1,822.73,826.17,1342.56169765
825.81,832.09,825.59,828.6,2574.93798425
828.6,831.48,825.0,825.07,909.48507712
825.44,830.0,825.1,829.11,518.99757534
829.22,831.33,827.49,830.66,1381.29220363
830.27,835.14,827.07,834.14,2618.4059045
834.15,836.53,832.26,834.83,3895.07764837
834.97,836.3,829.37,832.54,967.05542216
832.5,833.0,830.08,832.27,759.3582246
832.44,838.51,832.44,837.74,1133.13087428
837.83,853.79,837.01,851.66,5693.32401495
852.23,884.62,848.13,877.12,8513.00257025
876.26,888.14,871.87,874.45,5021.11186559
874.57,882.0,863.46,881.73,3755.04032376
881.55,910.0,878.0,908.54,7019.60316428
908.84,923.15,900.02,921.47,8158.56881427
921.49,921.5,892.0,913.95,8719.12081388
913.73,919.72,899.18,904.25,4430.25503553
904.47,912.26,894.16,894.88,4019.02599299
894.87,905.19,882.3,901.59,6368.31390839
901.7,920.0,901.12,918.31,4719.1206968
918.36,965.19,918.36,955.07,13995.94270796
955.07,978.45,941.81,966.08,8765.39127495
964.66,973.03,949.22,960.79,8242.64280013
960.79,961.98,928.95,934.39,7627.6674639
934.91,948.87,913.9,926.23,12261.0729081
925.3,955.0,921.08,948.85,6440.56449129
948.15,949.68,935.0,946.55,3951.75808128
946.08,952.32,933.36,933.99,1825.18982349
934.99,941.51,929.01,937.0,1644.60659549
937.0,937.0,906.01,906.74,5040.86214166
906.51,918.0,890.9,914.0,6607.05159332
912.97,921.91,912.15,917.58,1744.83386488
917.3,923.48,908.54,914.59,1379.30726822
914.82,919.71,900.0,905.27,2210.47029325
905.29,912.52,902.07,904.87,1975.2322064
904.91,920.76,904.44,920.76,1099.87287479
920.82,945.35,920.08,943.26,4999.25941395
943.56,961.0,940.69,958.94,4312.09321306
958.92,964.39,944.79,950.33,5236.46226821
950.47,952.53,940.28,947.19,2249.53452566
946.91,952.34,937.69,941.86,1823.12280978
942.21,954.66,940.59,954.01,1075.7199897
